item,category,product_name,variant_or_spec,role,status,quantity,unit_cost_usd,line_total_usd,included_in_funding_total,purchase_url,official_spec_url,price_status,notes,price_checked
11,Energy,Tattu Plus 10000mAh 6S 25C LiPo battery,22.2V; AS150 + XT150 connector; SKU TAA10K6SP25AX,Flight energy,Buy,2,227.99,455.98,Yes,https://genstattu.com/tattu-plus-22-2v-25c-6s-liPo-battery-10000-mah-with-as150-xt150-plug.html,https://genstattu.com/tattu-plus-22-2v-25c-6s-liPo-battery-10000-mah-with-as150-xt150-plug.html,Verified official price,"One flight pack plus one rotation/spare pack. Each pack is listed at about 1.52 kg, so the 6.0 kg all-up-mass gate is mandatory.",2026-07-13
12,Charging,HOTA D6 Pro dual-channel smart charger,325W; 15A; 1S to 6S; AC/DC; XT60,Balance charging and battery maintenance,Buy,1,162.49,162.49,Yes,https://www.getfpv.com/hota-d6-pro-325w-15a-1-6s-dual-channel-ac-dc-smart-charger-w-wireless-charging-xt60.html,https://www.getfpv.com/hota-d6-pro-325w-15a-1-6s-dual-channel-ac-dc-smart-charger-w-wireless-charging-xt60.html,Verified retailer price,Requires safe LiPo charging practice and the correct AS150/XT150-to-XT60 charge lead rated for the chosen charge current.,2026-07-13
13,Logging,SanDisk High Endurance 32GB microSD card,32GB,Flight-controller logs,Buy,1,10.00,10.00,Yes,https://www.amazon.com/dp/B08GY9NYRM,https://www.westerndigital.com/products/memory-cards/high-endurance-microsd,Retail estimate,Format as recommended by ArduPilot and confirm logging before flight testing.,2026-07-13
14,RC Control,Molicel P28A 18650 cell,2800mAh; flat top,Radio transmitter batteries,Buy,2,5.99,11.98,Yes,https://www.18650batterystore.com/products/molicel-p28a,https://www.molicel.com/inr-18650-p28a/,Verified retailer price,Confirm cell orientation and condition before installing in the RadioMaster Pocket battery tray.,2026-07-13
15,Vision,Arducam B0202 IMX291 USB camera module,1080p; UVC USB 2.0; 160-degree lens,RGB video for onboard smoke/fire research,Buy,1,49.99,49.99,Yes,https://www.amazon.com/dp/B0829HZ3Q7,https://www.uctronics.com/download/Amazon/B0202_IMX291_160_UVC_Camera_Datasheet.pdf,Retail estimate,"Selected because the owned Raspberry Pi 4B has a failed CSI port. Validate exposure, field of view and detection accuracy before flight.",2026-07-13
16,Power and Assembly,High-current wiring and safety hardware allowance,AS150/XT150 mating connectors; 10/12/14/16 AWG silicone wire; bullets; capacitors; fuse; heat-shrink; straps,"Power harness, strain relief and safe assembly",Buy,1,119.00,119.00,Yes,https://www.amazon.com/s?k=10+awg+12+awg+silicone+wire+AS150+XT150+connectors,https://www.mateksys.com/?portfolio=pdb-hex,Budget allowance,"Final connector and wire quantities depend on the measured frame routing. Size and fuse the harness from measured current, not claimed battery capability.",2026-07-13
17,Test Equipment,Motor thrust stand and inline wattmeter allowance,Suitable for 15-inch propellers and at least 30A / 6S measurement,Acceptance testing before full propulsion purchase,Buy,1,100.00,100.00,Yes,https://www.amazon.com/s?k=brushless+motor+thrust+stand+watt+meter,https://sunnyskyusa.com/products/x4212s,Budget allowance,"The test setup must safely clear a 15-inch propeller and record thrust, current, voltage and temperature.",2026-07-13
18,Budget,"Shipping, sales tax and contingency reserve","Balances the detailed BOM to the US$2,200 funding goal","Import, price movement and small missing hardware",Reserve,1,181.10,181.10,Yes,,,Calculated reserve,Recalculate immediately before ordering. Do not use the reserve to skip the thrust-test and all-up-mass gates.,2026-07-13
19,Owned,Raspberry Pi 4B,Owned; CSI port reported failed,Companion computer running OpenCV and MAVLink,Owned,1,0.00,0.00,Yes,https://www.raspberrypi.com/products/raspberry-pi-4-model-b/,https://www.raspberrypi.com/products/raspberry-pi-4-model-b/,Owned,Use the dedicated 5.2V UBEC and USB camera. Do not power the Pi from a Pixhawk peripheral rail.,Owned
20,Owned,"Prometheus software, CAD and current quadcopter prototype","Repository code, printed-part CAD, H743-WLITE/BN-880 bench hardware and build time",Stage-one validation and development base,Owned,1,0.00,0.00,Yes,https://github.com/rishith-c/Prometheus,https://github.com/rishith-c/Prometheus,Owned,"The owned H743-WLITE and BN-880 can support early bench work, but the funded configuration uses Pixhawk 6C and M10.",Owned
21,Compliance,FAA-compliant Remote ID solution,Exact broadcast module depends on operating rules and an accepted FAA Declaration of Compliance,Outdoor-flight compliance when required,Conditional,1,0.00,0.00,No,https://uasdoc.faa.gov/listDocs,https://www.faa.gov/uas/getting_started/remote_id,TBD after compliance review,"Confirm registration, Remote ID, airspace and test-site requirements before outdoor flight. This line is excluded from the US$2,200 total until an approved solution is selected.",2026-07-13
TOTAL,Summary,Funding total,,,Calculated,,,2200.00,Yes,,,Formula-checked,Required purchases plus a $181.10 reserve. Conditional compliance items are excluded.,2026-07-13
